"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,1,49,1,1,2,2,1,0.290631
"2",1,1,26,2,2,2,2,1,0.520202
"3",2,1,40,1,1,2,1,2,0.4324895
"4",2,1,51,1,1,1,1,2,0.5
"5",1,1,33,2,2,2,2,2,0.390625
"6",2,1,51,1,1,2,2,2,0.4822007
"7",2,1,30,2,2,2,2,2,0.3340425
"8",2,1,26,2,2,2,2,2,0.510989
"9",1,1,54,1,1,2,2,2,0.3556338
"10",2,1,31,1,1,2,2,2,0.3732719
"11",2,1,56,1,1,2,2,2,0.4044665
"12",1,1,54,2,1,2,2,2,0.4132948
"13",1,1,21,1,1,1,2,1,0.5984849
"14",1,1,35,2,2,1,2,1,0.5991561
"15",2,1,23,1,1,1,2,1,0.39375
"16",2,1,41,2,1,1,2,2,0.5023041
"17",2,1,49,1,1,1,2,2,0.4263736
"18",1,1,35,1,1,2,2,2,0.473545
"19",2,1,40,2,1,1,1,2,0.4981949
"20",1,1,60,1,1,2,2,2,0.5185185
"21",2,1,42,1,1,1,1,2,0.5
"22",2,1,48,1,1,2,2,2,0.2558922
"23",2,1,41,1,1,2,2,2,0.3359073
"24",1,1,29,2,2,2,2,2,0.2622036
"25",2,1,59,1,1,2,2,2,0.5
"26",2,1,32,2,2,2,2,2,0.4389671
"27",1,1,22,2,1,1,2,1,0.504065
"28",1,1,25,2,2,1,2,2,0.5752212
"29",2,1,36,2,2,2,2,2,0.4010989
"30",2,1,41,2,1,1,2,1,0.3994845
"31",2,1,26,1,1,1,2,1,0.5204461
"32",1,1,25,2,2,2,1,1,0.4175258
"33",2,1,23,2,2,1,2,1,0.5194175
"34",1,1,24,1,1,1,2,2,0.4593838
"35",2,1,22,2,2,2,2,2,0.4872611
"36",2,1,38,1,1,2,1,1,0.6147541
"37",2,1,37,2,2,1,1,2,0.5032895
"38",1,1,39,2,1,2,2,2,0.5253165
"39",1,1,30,2,2,2,2,2,0.520362
"40",2,1,34,2,1,2,2,2,0.4429066
"41",1,1,36,2,1,2,2,2,0.2456814
"42",2,1,22,2,1,1,2,1,0.4405063
"43",1,1,33,2,1,1,1,2,0.5421687
